arm,stratum_type,stratum,n,value
T_cohort,cohort,7,9.0,0.014292089873807323
T_cohort,cohort,8,10.0,0.02120775623268698
T_cohort,cohort,9,10.0,0.01537534626038781
T_cohort,cohort,10,9.0,0.013708833487226837
T_cohort,cohort,11,10.0,0.016972299168975073
T_cohort,cohort,12,11.0,0.022246285570385292
T_cohort,cohort,13,11.0,0.014785948123898263
T_cohort,cohort,14,10.0,0.015311634349030472
T_cohort,cohort,15,11.0,0.011338453789977337
T_cohort,cohort,16,10.0,0.012200831024930747
T_cohort,cohort,17,10.0,0.025588642659279782
T_cohort,cohort,18,8.0,0.027641966759002774
T_cohort,cohort,19,6.0,0.018504155124653743
T_cohort,cohort,20,8.0,0.017640235457063714
T_cohort,cohort,21,10.0,0.01562880886426593
T_cohort,cohort,22,11.0,0.01998992697053639
T_cohort,cohort,23,10.0,0.014725761772853185
T_cohort,cohort,24,11.0,0.013291362377234953
T_cohort,cohort,25,11.0,0.021696046335935526
T_cohort,maf_bin,0,140,0.003140011383039272
T_cohort,maf_bin,1,122,0.0039435699823656195
T_cohort,maf_bin,2,99,0.0062000482916817565
T_cohort,distance_bin,0,104.0,0.12318574422220778
T_cohort,distance_bin,1,148.0,0.06042681321714484
T_cohort,distance_bin,2,202.0,0.039783379254644036
T_cohort,distance_bin,3,573.0,0.03674622596106414
