arm,stratum_type,stratum,n,value
T_cohort,cohort,7,9.0,0.014546014158202522
T_cohort,cohort,8,10.0,0.02166343490304709
T_cohort,cohort,9,10.0,0.015285318559556785
T_cohort,cohort,10,9.0,0.01386888273314866
T_cohort,cohort,11,10.0,0.017526315789473685
T_cohort,cohort,12,11.0,0.0227927474187862
T_cohort,cohort,13,11.0,0.01526315789473684
T_cohort,cohort,14,10.0,0.015763157894736844
T_cohort,cohort,15,11.0,0.012096449257114079
T_cohort,cohort,16,10.0,0.01309556786703601
T_cohort,cohort,17,10.0,0.025799168975069252
T_cohort,cohort,18,8.0,0.028187326869806094
T_cohort,cohort,19,6.0,0.019286703601108034
T_cohort,cohort,20,8.0,0.01787742382271468
T_cohort,cohort,21,10.0,0.016098337950138503
T_cohort,cohort,22,11.0,0.02027323092420045
T_cohort,cohort,23,10.0,0.014732686980609418
T_cohort,cohort,24,11.0,0.013671619239486277
T_cohort,cohort,25,11.0,0.022193402165701332
T_cohort,maf_bin,0,140,0.0036452760387023337
T_cohort,maf_bin,1,122,0.004989876559336424
T_cohort,maf_bin,2,99,0.006346331844339812
T_cohort,distance_bin,0,104.0,0.12286719561760442
T_cohort,distance_bin,1,148.0,0.05950502888771768
T_cohort,distance_bin,2,202.0,0.03921891620194719
T_cohort,distance_bin,3,573.0,0.03612288361967823
